unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"190664","41861000","0","41861000","","","","49521000","8724000","58245000","0","616000","616000","73000","6836000","6909000","0","7315000","7315000","108000","2000","110000","66000","79000","145000","0","17000","17000","174000","0","174000","3904000","0","3904000","","","","9772000","70000","9842000","","","","105479000","23659000","129138000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190673","22579000","0","22579000","","","","15168000","304000","15472000","9423000","54000","9477000","0","6478000","6478000","0","4284000","4284000","0","11000","11000","12000","31000","43000","0","1000","1000","","","","818000","0","818000","","","","2399000","0","2399000","","","","50399000","11163000","61562000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190682","2323000","0","2323000","","","","5755000","1042000","6797000","0","54000","54000","","","","0","131000","131000","","","","","","","","","","","","","19000","0","19000","","","","661000","295000","956000","","","","8758000","1522000","10280000","",10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190691","13497000","0","13497000","","","","15334000","1973000","17307000","0","196000","196000","0","5217000","5217000","0","3855000","3855000","0","1000","1000","37000","48000","85000","","","","","","","179000","0","179000","","","","430000","0","430000","","","","29477000","11290000","40767000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,11,11,31
"190716","11759000","0","11759000","","","","117000","0","117000","","","","23000","1249000","1272000","43000","1697000","1740000","29000","33000","62000","242000","224000","466000","172000","23000","195000","","","","1173000","25000","1198000","","","","284000","0","284000","","466000","466000","13842000","3717000","17559000","",10,10,10,31,31,31,10,10,10,31,31,31,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,16,16,10,10,10,31
"190725","11831000","0","11831000","","","","116000","0","116000","","","","0","2051000","2051000","0","1240000","1240000","","","","118000","94000","212000","","","","","","","2634000","0","2634000","","","","374000","160000","534000","","","","15073000","3545000","18618000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190734","275150","","275150","","","","","","","","","","","23666","23666","","","","","","","151532","","151532","","","","","","","","","","","","","2396","","2396","","","","429078","23666","452744","",10,31,10,31,31,31,31,31,31,31,31,31,31,11,11,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,11,11,31
"190752","445756","0","445756","0","0","0","0","0","0","0","0","0","","52724","52724","1315","20607","21922","0","0","0","43115","15149","58264","20975","17868","38843","0","0","0","131534","0","131534","0","0","0","17285","2136","19421","0","0","0","659980","108484","768464","",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,17,17,10,31
"190761","7443000","0","7443000","","","","118000","0","118000","","","","0","369000","369000","0","665000","665000","","","","545000","6000","551000","28000","0","28000","","","","499000","0","499000","","","","215000","0","215000","","","","8848000","1040000","9888000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190770","34210000","0","34210000","","","","485000","0","485000","","","","64000","2053000","2117000","0","3476000","3476000","","","","283000","525000","808000","90000","0","90000","","","","829000","0","829000","","","","1007000","781000","1788000","","","","36968000","6835000","43803000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190840","9657179","","9657179","0","0","0","8601340","","8601340","7065679","","7065679","","2577996","2577996","","1152751","1152751","0","0","0","","1206147","1206147","0","0","0","0","0","0","0","0","0","0","0","0","2731719","173357","2905076","0","0","0","28055917","5110251","33166168","",10,31,10,31,31,10,10,31,10,10,31,10,31,10,10,31,10,10,31,31,10,31,10,10,31,31,10,31,31,10,31,31,10,31,31,10,10,10,10,31,31,10,10,10,10,31
