unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"200217","3329524","205022","3534546","2498717","0","0","0","0","0","17535","17535","7412","490177","0","490177","333102","466158","24019","490177","398559","1730810","0","1730810","764595","743273","0","743273","147427","742973","1820535","2563508","0","0","0","0","0","0","7502915","2067111","9570026","1799638","0","1799638","0","0","0","0","0","0","9302553","2067111","11369664","4149812","798308","0","0","4948120","","","","","","","","B"
"200226","2015303","25416","2040719","1459304","0","0","0","0","0","0","0","0","317996","24877","342873","128197","598847","281955","880802","575719","486610","7098","493708","279790","906505","2654","909159","269946","0","679640","679640","0","0","0","0","0","0","4325261","1021640","5346901","1142772","0","1142772","0","0","0","","","","5468033","1021640","6489673","2712956","709086","0","0","3422042","187051","123953","0","","","","","B"
"200244","898227","0","898227","698795","","","","","","","","","67221","","67221","","","","","","368030","0","368030","0","0","148648","148648","0","57945","97979","155924","","","","","","","1391423","246627","1638050","","","","","","","","","","1391423","246627","1638050","698795","117010","","","815805","67221","","","","","","","B"
"200253","8583082","132414","8715496","6431775","15482","135093","150575","82982","360268","254367","614635","323310","1326954","5040","1331994","775643","867877","10502","878379","458350","1280033","0","1280033","713728","2175410","0","2175410","797910","68838","2974658","3043496","47725","0","47725","96690","36889","133579","14822359","3548963","18371322","2856547","0","2856547","0","0","0","0","0","0","17678906","3548963","21227869","9583698","2350389","0","0","11934087","653431","246000","5061","0","0","0","0","B"
"200280","55387132","3619625","59006757","35427542","803159","15571227","16374386","7883649","217530","6360338","6577868","3571930","12990908","240768","13231676","6579752","4223451","294056","4517507","2822380","10188032","86050","10274082","4584482","9976263","37003","10013266","3553530","3924036","7723657","11647693","4996","","4996","637224","106879","744103","98352731","34039603","132392334","35573981","0","35573981","10235925","118954","10354879","","","","144162637","34158557","178321194","64423265","16334547","","","80757812","4369965","2654582","768655","117168","","","359755","B"
"200305","7313785","735914","8049699","5165270","","","","","","","","","745601","6925","752526","398824","797893","101702","899595","570579","1312275","19954","1332229","732902","2782951","47298","2830249","1088326","110606","2049607","2160213","","","","54832","","54832","13117943","2961400","16079343","2940124","","2940124","","","","","","","16058067","2961400","19019467","7955901","2165765","","","10121666","400173","149580","40639","","","","","B"
"200314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"200332","26378937","1215272","27594209","20457169","18365489","9753960","28119449","14441374","10059216","3946760","14005976","7059724","5340447","150712","5491159","2590682","3198310","553406","3751716","1804740","6333231","42586","6375817","2487725","8441100","6157","8447257","2907483","1419759","5958270","7378029","","","","991126","159998","1151124","80527615","21787121","102314736","17890486","25602","17916088","","","","","","","98418101","21812723","120230824","51748897","18954540","","","70703437","2384443","1029729","","","","","","B"
"200341","1064786","516072","1580858","1087992","","","","","","70867","70867","","116728","12974","129702","61638","181329","801","182130","115249","324649","28109","352758","173107","455556","7590","463146","71126","11420","650907","662327","","7","7","","","","2154468","1287327","3441795","493590","3953","497543","","","","","","","2648058","1291280","3939338","1509112","415496","","","1924608","78428","88080","","","","","","B"
"200466","275459","225326","500785","397631","","35143","35143","19535","","35967","35967","12297","158242","143923","302165","69491","115709","125368","241077","130678","394476","","394476","128839","68731","","68731","20540","13068","438015","451083","56090","","56090","8176","","8176","1089951","1003742","2093693","44242","","44242","","","","","","","1134193","1003742","2137935","779011","172489","","","951500","27579","","","","","","","B"
"200484","415616","0","415616","273332","","","","","","","","","184556","0","184556","98595","302475","0","302475","136543","552085","0","552085","191259","478199","0","478199","145118","304979","63264","368243","","","","","","","2237910","63264","2301174","570232","0","570232","","","","","","","2808142","63264","2871406","844847","166566","","","1011413","98215","","","","","","","B"
"200527","0","825512","825512","542258","0","0","0","0","0","0","0","0","0","245735","245735","164332","0","299738","299738","187480","0","467219","467219","254086","0","247647","247647","37869","0","555057","555057","0","3756","3756","0","0","0","0","2644664","2644664","58696","0","58696","0","0","0","0","0","0","58696","2644664","2703360","1186025","254587","0","0","1440612","","","","","","","","B"
"200554","0","1306045","1306045","535478","0","0","0","0","0","525906","525906","215621","0","144644","144644","59304","0","486821","486821","199597","0","715157","715157","293214","0","768464","768464","315070","0","0","0","0","0","0","0","0","0","0","3947037","3947037","0","0","0","","","","","","","0","3947037","3947037","1618284","333323","0","0","1951607","21204","","","","","","","B"
"200572","2944001","23419","2967420","2097458","","","","","56757","","56757","29459","458640","","458640","203996","440253","","440253","299958","635320","52246","687566","385925","1209760","26503","1236263","513842","5000","1051838","1056838","","19","19","","","","5749731","1154025","6903756","1502089","","1502089","","","","","","","7251820","1154025","8405845","3530638","911203","0","0","4441841","296897","12505","","","","","","B"
"200590","","1615512","1615512","1051946","","","","","","","","","","33940","33940","16939","","109276","109276","51913","","63213","63213","23487","116655","1756","118411","36911","","","","","","","","","","116655","1823697","1940352","","","","","","","","","","116655","1823697","1940352","1181196","196449","1424","7434","1386503","","","","","","","","B"
"200697","0","50015700","50015700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","50015700","50015700","","","","","","","","","","0","50015700","50015700","","","","","","","","","","","","","B"
